Rank,CCA3,Country/Territory,Capital,Continent,2023 population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km_),density (km¬≤),growth rate,world percentage
174,MDV,Maldives,Malé,Asia,521021,523787,514438,435582,361575,282507,224957,164887,123243,300,1737,-0.53%,0.01%
59,MLI,Mali,Bamako,Africa,23293698,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1240192,19,3.10%,0.29%
173,MLT,Malta,Valletta,Europe,535064,533286,515357,456579,418755,399212,365392,333587,315414,316,1672,0.33%,0.01%
215,MHL,Marshall Islands,Majuro,Oceania,41996,41569,43413,49410,53416,54224,46047,31988,23969,181,233,1.03%,0.00%
180,MTQ,Martinique,Fort-de-France,North America,366981,367507,370391,383515,392181,432543,374271,333786,326428,1128,325,-0.14%,0.00%
126,MRT,Mauritania,Nouakchott,Africa,4862989,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,1030700,5,2.68%,0.06%
157,MUS,Mauritius,Port Louis,Africa,1300557,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,2040,641,0.08%,0.02%
182,MYT,Mayotte,Mamoudzou,Africa,335995,326101,305587,249545,211786,159215,92659,52233,35383,374,898,3.03%,0.00%
10,MEX,Mexico,Mexico City,North America,128455567,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,1964375,66,0.75%,1.60%
194,FSM,Micronesia,Palikir,Oceania,115224,114164,112106,109462,107588,111709,98603,76299,58989,702,165,0.93%,0.00%
135,MDA,Moldova,Chisinau,Europe,3435931,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,33846,104,4.98%,0.04%
217,MCO,Monaco,Monaco,Europe,36297,36469,36922,36760,33178,32465,30329,27076,24270,2,18149,-0.47%,0.00%
134,MNG,Mongolia,Ulaanbaatar,Asia,3447157,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,1564110,2,1.44%,0.04%
169,MNE,Montenegro,Podgorica,Europe,626485,627082,629048,633966,631044,633324,621442,589324,530268,13812,47,-0.10%,0.01%
230,MSR,Montserrat,Brades,North America,4386,4390,4500,5059,4938,5138,10805,11452,11402,102,43,-0.09%,0.00%
40,MAR,Morocco,Rabat,Africa,37840044,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,446550,85,1.02%,0.47%
48,MOZ,Mozambique,Maputo,Africa,33897354,32969517,31178239,26843246,23073723,17768505,13303459,11413587,8411676,801590,43,2.81%,0.42%
26,MMR,Myanmar,Nay Pyi Taw,Asia,54577997,54179306,53423198,51483949,49390988,45538332,40099553,33465781,27284112,676578,84,0.74%,0.68%
145,NAM,Namibia,Windhoek,Africa,2604172,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,825615,3,1.45%,0.03%
225,NRU,Nauru,Yaren,Oceania,12780,12668,12315,11185,10241,10377,9598,7635,6663,21,639,0.88%,0.00%
