rank,cca3,country/territory,capital,continent,2023_population,2022_population,2020_population,2015_population,2010_population,2000_population,1990_population,1980_population,1970_population,area_(km_),density_(kmâ²),growth_rate,world_percentage,growth_2000_to_2023,growth_2010_to_2020,projected_growth_rate,projected_population_2030,density_1970,density_2000,density_2023,development_status
162,FJI,Fiji,Suva,Oceania,936375,929766,920422,917200,905169,832509,780430,644582,527634,18272,51,0.71%,0.01%,12.4762615178935,1.6850996885664444,0.005124913964757116,970487.7899118302,28.876641856392293,45.562007443082315,51.24644264448336,Developing
118,FIN,Finland,Helsinki,Europe,5545475,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,18,0.09%,0.07%,7.133908232839903,3.098799221594434,0.0030005511400679197,5663005.108366639,13.611980828782828,15.29504113183462,16.38617533035482,Developing
23,FRA,France,Paris,Europe,64756584,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,118,0.20%,0.81%,10.382824453771796,3.2596686914331556,0.004304208792461406,66733040.09826998,91.57883613228324,106.3367494720815,117.37750749961482,Developing
184,GUF,French Guiana,Cayenne,South America,312155,304557,290969,257026,228453,164351,113931,66825,46484,83534,4,2.49%,0.00%,89.93191401330081,27.364928453555,0.028283706037500522,379455.6070316567,0.55646802499581,1.9674743218330262,3.736861637177676,Developing
183,PYF,French Polynesia,Papeete,Oceania,308872,306279,301920,291787,283788,250927,211089,163591,117891,4167,89,0.85%,0.00%,23.092373479139354,6.389276502177682,0.009074179136705052,329033.5576943406,28.29157667386609,60.21766258699304,74.12335013198944,Developing
146,GAB,Gabon,Libreville,Africa,2436566,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,267668,9,1.99%,0.03%,91.41323005495174,33.9820174682442,0.028631098309942926,2968901.098016032,2.231092248606483,4.755648788798063,9.102940956707563,Developing
142,GMB,Gambia,Banjul,Africa,2773168,2705992,2573995,2253133,1937275,1437539,1040616,718586,528731,10689,274,2.48%,0.03%,92.91080102870252,32.866784529816364,0.02897969837267067,3387067.2849824075,49.464963981663395,134.48769763308073,259.44129478903545,Developing
131,GEO,Georgia,Tbilisi,Asia,3728282,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,69700,54,-0.43%,0.05%,-12.587769027837565,-1.8483743485183477,-0.005832272429263208,3578708.9679369763,68.87268292682927,61.19328550932568,53.49041606886657,Developing
19,DEU,Germany,Berlin,Europe,83294633,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,238,-0.09%,1.04%,2.1372411507858997,2.4640587548074033,0.0009198673577712757,83832455.45429091,219.2425471978136,228.36314734230527,233.24381850053484,Developed
47,GHA,Ghana,Accra,Africa,34121985,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,238533,150,1.93%,0.43%,73.51189407725263,25.828952411950258,0.0242491673998535,40352795.348553166,37.15165197268303,82.44352772991577,143.04932650828187,Developing
219,GIB,Gibraltar,Gibraltar,Europe,32688,32649,32709,32520,31262,27741,27317,28734,26685,6,4807,0.12%,0.00%,17.83281064128907,4.6286226089181755,0.007160145823548403,34361.97152242645,4447.5,4623.5,5448.0,Developing
90,GRC,Greece,Athens,Europe,10341277,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,80,-0.42%,0.13%,-6.312965382023315,-4.726855694008121,-0.002831218325868412,10138060.683551403,64.73879081748618,83.6283733616183,78.34894310175014,Developing
208,GRL,Greenland,Nuuk,North America,56643,56466,56026,55895,56351,56184,55599,50106,45434,2166086,0,0.31%,0.00%,0.8169585647159333,-0.576742205107274,0.0003538188933955855,56783.438544168785,0.020975159804366032,0.025938028314665254,0.026149931258500354,Developing
193,GRD,Grenada,Saint George's,North America,126183,125438,123663,118980,114039,107432,99047,94838,98794,344,371,0.59%,0.00%,17.453831260704444,8.439218162207666,0.007019090668136663,132514.91893883358,287.1918604651163,312.30232558139534,366.8110465116279,Developing
178,GLP,Guadeloupe,Basse-Terre,North America,395839,395752,395642,399089,403072,424067,391951,334234,318310,1628,243,0.02%,0.00%,-6.656495317956833,-1.8433431248015244,-0.00299047172177358,387626.7523359687,195.52211302211302,260.48341523341526,243.1443488943489,Developing
191,GUM,Guam,Hagta,Oceania,172952,171774,169231,167978,164905,160188,138263,110286,88300,549,320,0.69%,0.00%,7.968137438509751,2.6233285831236164,0.003338864845606526,177034.95905212307,160.83788706739526,291.78142076502735,315.0309653916211,Developing
68,GTM,Guatemala,Guatemala City,North America,18092026,17843908,17362718,16001107,14543121,11735894,9084780,6987767,5453208,108889,169,1.39%,0.23%,54.15975979333146,19.387839790372368,0.018996408360005823,20639338.60267285,50.080430530172926,107.77850838927715,166.15108964174527,Developing
207,GGY,Guernsey,Saint Peter Port,Europe,63544,63301,62794,61629,60782,59114,57727,52860,52656,78,1009,0.38%,0.00%,7.493994654396589,3.310190516929354,0.0031468887580188287,64957.04550098435,675.0769230769231,757.8717948717949,814.6666666666666,Developing
75,GIN,Guinea,Conakry,Africa,14190612,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,245857,58,2.39%,0.18%,70.21312426929362,28.570759541095818,0.02339472897407857,16684121.976695118,17.174105272577147,33.90982156294106,57.71896671642459,Developing
149,GNB,Guinea-Bissau,Bissau,Africa,2150842,2105566,2015828,1788919,1567220,1230849,973551,831462,591663,36125,76,2.15%,0.03%,74.74458686646372,28.624443281734536,0.024564473286911914,2549080.53760368,16.378214532871972,34.071944636678204,59.538878892733564,Developing
164,GUY,Guyana,Georgetown,South America,813834,808726,797202,755031,747932,759051,747116,778176,705261,214969,4,0.63%,0.01%,7.217301604240031,6.587497259109116,0.0030344836739994996,831279.1312345882,3.2807567602770633,3.530978885327652,3.7858202810637813,Developing
82,HTI,Haiti,Port-au-Prince,North America,11724763,11584996,11306801,10563757,9842880,8360225,6925331,5646676,4680812,27750,425,1.21%,0.15%,40.24458671865889,14.872892893136969,0.014813772218232879,12995965.21225499,168.6779099099099,301.2693693693694,422.513981981982,Developing
89,HND,Honduras,Tegucigalpa,North America,10593798,10432860,10121763,9294505,8450933,6656725,5053234,3777990,2782753,112492,95,1.54%,0.13%,59.144293928320614,19.77095310068131,0.020407224728693718,12202992.98636098,24.737341322049566,59.175096895779255,94.17379013618746,Developing
104,HKG,Hong Kong,Hong Kong,Asia,7491609,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104,7135,0.04%,0.09%,11.296864821179597,5.166816732230971,0.0046643619570596595,7739663.544264339,3582.4927536231885,6097.096920289855,6785.877717391304,Developing
94,HUN,Hungary,Budapest,Europe,10156239,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,93028,111,1.90%,0.13%,-0.4490859929690636,-2.365636726387015,-0.0001956753806178213,10142335.882099414,110.88452938900116,109.66649825858882,109.17400137592983,Developing
179,ISL,Iceland,Reykjavk,Europe,375318,372899,366669,331060,318333,281462,255019,228263,204468,103000,4,0.65%,0.00%,33.345886833746654,15.184099669214312,0.012590612208598362,409672.3661769612,1.985126213592233,2.732640776699029,3.6438640776699027,Developing
2,IND,India,New Delhi,Asia,1428627663,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301,3287590,481,0.81%,17.85%,34.82278797906267,12.556166117215447,0.01307566367943136,1564632095.0598557,169.57750236495426,322.31320663464726,434.55165120954865,Developing
4,IDN,Indonesia,Jakarta,Asia,277534122,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394,1904569,148,0.74%,3.47%,29.64496813907663,11.40981626656361,0.011352192333878408,300353936.02440816,60.50103409222769,112.39940427466792,145.72017186040517,Developing
17,IRN,Iran,Tehran,Asia,89172767,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705,1648195,55,0.70%,1.11%,36.04944149066137,15.809643808187865,0.013474679346381135,97931535.07330196,17.26112808253878,39.76737157921241,54.10328692903449,Developing
35,IRQ,Iraq,Baghdad,Asia,45504560,44496122,42556984,37757813,31264875,24628858,17658381,13653369,9811347,438317,105,2.27%,0.57%,84.76114483261871,36.11755684294276,0.027050426228427904,54852609.04525754,22.384135226331626,56.18960250229856,103.8165528601446,Developing
125,IRL,Ireland,Dublin,Europe,5056935,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,70273,73,0.67%,0.06%,34.17357619496146,9.316522951828732,0.012863075408919844,5530221.724386492,41.803210336829224,53.63297425753846,71.96127958106243,Developing
202,IMN,Isle of Man,Douglas,Europe,84710,84519,84046,83593,83828,75562,68865,64022,55298,572,149,0.23%,0.00%,12.106614435827533,0.26005630576895544,0.0049810665190963554,87708.12783458021,96.67482517482517,132.1013986013986,148.0944055944056,Developing
98,ISR,Israel,Jerusalem,Asia,9174520,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,20770,424,1.51%,0.11%,49.985008888404984,19.499962133849678,0.017780801525879575,10379182.136974,139.97626384207993,294.50929224843526,441.7197881559942,Developing
25,ITA,Italy,Rome,Europe,58870762,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,301336,199,-0.28%,0.74%,3.3429619921372242,-0.5380438280277722,0.0014307181129147306,59462890.92255525,176.9587304537128,189.04610468048955,195.36584410757428,Developing
52,CIV,Ivory Coast,Yamoussoukro,Africa,28873034,28160542,26811790,23596741,21120042,16799670,11910540,8303809,5477086,322463,91,2.53%,0.36%,71.8666735715642,26.949510801162234,0.023824987730098668,34046501.83104724,16.985161088248883,52.097977132260134,89.53906029528969,Developing
